start_date,end_date,status,progress,duration_seconds,finished,response_id,prolific_id,consent,age,education_level,occupation,llm_familiarity,llm_knowledge,ai_truthful1,ai_helpful1,ai_confident1,legal_22_correctness,legal_22_confidence,legal_22_reasoning,legal_22_knowledge,legal_22_time,legal_23_correctness,legal_23_confidence,legal_23_reasoning,legal_23_knowledge,legal_23_time,legal_24_correctness,legal_24_confidence,legal_24_reasoning,legal_24_knowledge,legal_24_time,legal_25_correctness,legal_25_confidence,legal_25_reasoning,legal_25_knowledge,legal_25_time,legal_26_correctness,legal_26_confidence,legal_26_reasoning,legal_26_knowledge,legal_26_time,legal_27_correctness,legal_27_confidence,legal_27_reasoning,legal_27_knowledge,legal_27_time,legal_28_correctness,legal_28_confidence,legal_28_reasoning,legal_28_knowledge,legal_28_time,legal_29_correctness,legal_29_confidence,legal_29_reasoning,legal_29_knowledge,legal_29_time,legal_30_correctness,legal_30_confidence,legal_30_reasoning,legal_30_knowledge,legal_30_time,legal_31_correctness,legal_31_confidence,legal_31_reasoning,legal_31_knowledge,legal_31_time,math_14_correctness,math_14_confidence,math_14_reasoning,math_14_knowledge,math_14_time,math_15_correctness,math_15_confidence,math_15_reasoning,math_15_knowledge,math_15_time,math_16_correctness,math_16_confidence,math_16_reasoning,math_16_knowledge,math_16_time,math_17_correctness,math_17_confidence,math_17_reasoning,math_17_knowledge,math_17_time,math_18_correctness,math_18_confidence,math_18_reasoning,math_18_knowledge,math_18_time,math_19_correctness,math_19_confidence,math_19_reasoning,math_19_knowledge,math_19_time,math_20_correctness,math_20_confidence,math_20_reasoning,math_20_knowledge,math_20_time,math_21_correctness,math_21_confidence,math_21_reasoning,math_21_knowledge,math_21_time,math_22_correctness,math_22_confidence,math_22_reasoning,math_22_knowledge,math_22_time,math_23_correctness,math_23_confidence,math_23_reasoning,math_23_knowledge,math_23_time,finance_21_correctness,finance_21_confidence,finance_21_reasoning,finance_21_knowledge,finance_21_time,finance_22_correctness,finance_22_confidence,finance_22_reasoning,finance_22_knowledge,finance_22_time,finance_23_correctness,finance_23_confidence,finance_23_reasoning,finance_23_knowledge,finance_23_time,finance_24_correctness,finance_24_confidence,finance_24_reasoning,finance_24_knowledge,finance_24_time,finance_25_correctness,finance_25_confidence,finance_25_reasoning,finance_25_knowledge,finance_25_time,finance_26_correctness,finance_26_confidence,finance_26_reasoning,finance_26_knowledge,finance_26_time,finance_27_correctness,finance_27_confidence,finance_27_reasoning,finance_27_knowledge,finance_27_time,finance_28_correctness,finance_28_confidence,finance_28_reasoning,finance_28_knowledge,finance_28_time,finance_29_correctness,finance_29_confidence,finance_29_reasoning,finance_29_knowledge,finance_29_time,finance_30_correctness,finance_30_confidence,finance_30_reasoning,finance_30_knowledge,finance_30_time,medical_100_correctness,medical_100_confidence,medical_100_reasoning,medical_100_knowledge,medical_100_time,medical_101_correctness,medical_101_confidence,medical_101_reasoning,medical_101_knowledge,medical_101_time,medical_102_correctness,medical_102_confidence,medical_102_reasoning,medical_102_knowledge,medical_102_time,medical_103_correctness,medical_103_confidence,medical_103_reasoning,medical_103_knowledge,medical_103_time,medical_104_correctness,medical_104_confidence,medical_104_reasoning,medical_104_knowledge,medical_104_time,medical_105_correctness,medical_105_confidence,medical_105_reasoning,medical_105_knowledge,medical_105_time,medical_106_correctness,medical_106_confidence,medical_106_reasoning,medical_106_knowledge,medical_106_time,medical_107_correctness,medical_107_confidence,medical_107_reasoning,medical_107_knowledge,medical_107_time,medical_108_correctness,medical_108_confidence,medical_108_reasoning,medical_108_knowledge,medical_108_time,medical_109_correctness,medical_109_confidence,medical_109_reasoning,medical_109_knowledge,medical_109_time,misinfo_100_correctness,misinfo_100_confidence,misinfo_100_reasoning,misinfo_100_knowledge,misinfo_100_time,misinfo_101_correctness,misinfo_101_confidence,misinfo_101_reasoning,misinfo_101_knowledge,misinfo_101_time,misinfo_102_correctness,misinfo_102_confidence,misinfo_102_reasoning,misinfo_102_knowledge,misinfo_102_time,misinfo_103_correctness,misinfo_103_confidence,misinfo_103_reasoning,misinfo_103_knowledge,misinfo_103_time,misinfo_104_correctness,misinfo_104_confidence,misinfo_104_reasoning,misinfo_104_knowledge,misinfo_104_time,misinfo_105_correctness,misinfo_105_confidence,misinfo_105_reasoning,misinfo_105_knowledge,misinfo_105_time,misinfo_106_correctness,misinfo_106_confidence,misinfo_106_reasoning,misinfo_106_knowledge,misinfo_106_time,misinfo_107_correctness,misinfo_107_confidence,misinfo_107_reasoning,misinfo_107_knowledge,misinfo_107_time,misinfo_108_correctness,misinfo_108_confidence,misinfo_108_reasoning,misinfo_108_knowledge,misinfo_108_time,misinfo_109_correctness,misinfo_109_confidence,misinfo_109_reasoning,misinfo_109_knowledge,misinfo_109_time,crt_bat_ball,crt_machines,crt_lilies,ai_truthful2,ai_helpful2,ai_confident2,worktimeArray,tasktime,offTask,onTask,totalOffTask,totalOnTask,total_questions_answered,correct_answers,accuracy,avg_confidence,avg_knowledge,legal_22_got_correct,legal_23_got_correct,legal_24_got_correct,legal_25_got_correct,legal_26_got_correct,legal_27_got_correct,legal_28_got_correct,legal_29_got_correct,legal_30_got_correct,legal_31_got_correct,math_14_got_correct,math_15_got_correct,math_16_got_correct,math_17_got_correct,math_18_got_correct,math_19_got_correct,math_20_got_correct,math_21_got_correct,math_22_got_correct,math_23_got_correct,finance_21_got_correct,finance_22_got_correct,finance_23_got_correct,finance_24_got_correct,finance_25_got_correct,finance_26_got_correct,finance_27_got_correct,finance_28_got_correct,finance_29_got_correct,finance_30_got_correct,medical_100_got_correct,medical_101_got_correct,medical_102_got_correct,medical_103_got_correct,medical_104_got_correct,medical_105_got_correct,medical_106_got_correct,medical_107_got_correct,medical_108_got_correct,medical_109_got_correct,misinfo_100_got_correct,misinfo_101_got_correct,misinfo_102_got_correct,misinfo_103_got_correct,misinfo_104_got_correct,misinfo_105_got_correct,misinfo_106_got_correct,misinfo_107_got_correct,misinfo_108_got_correct,misinfo_109_got_correct,participant_accuracy_vs_ground_truth,total_questions_correct,total_questions_attempted,crt_bat_ball_correct,crt_machines_correct,crt_lilies_correct,crt_score
10/20/2025 20:48,10/20/2025 20:57,0,100,513,1,R_7rapE94Zoq0rgg9,667d08e12ac1bcbdd829a936,2,2,3,Cashier,4,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3.0,"I believe the answer is correct as the term ""H2O"" would fall under the secriptive category as it is describing what the product contains.",2.0,94.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1.0,"I am unsure of the answer to this problem as I am not too familiar with the rules of the equation. But, I did choose not correct as the answer seems to likely be more than 2.",2.0,66.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1.0,"I am unsure what the correct answer is as I'm not sure what type of equation needs to be used to answer this problem. I chose correct, as the answer seemed to align in the price range I would expect the answer to be in.",1.0,69.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.0,"I an uneducated in the medical field to make an accurate assumption on the correct answer. However, given the symptoms provided to us, the answer the LLM gave seemed to align with one of the more suitable answers.",1.0,85.26,,,,,,,,,,,,,,,,True,3.0,"I believe that the information provided in the passage is true, as it seems to align with the most recent events that have taken place in the United States. I've heard past new stories covering how this healthcare bill could potentially cause millions of Americans to lose their access to healthcare and insurance.",3.0,137.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,5,47,2,2,2,,,,,,,5,4,0.8,2.0,1.8333333333333333,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,False,,,,,,,,,,False,,,,True,,,,,,,,,0.2,1,5,True,True,True,3
10/20/2025 20:48,10/20/2025 21:05,0,100,1035,1,R_5MJUFhJO7lW9edY,5dd2f94a238a913096c52317,2,4,4,Assistant,2,3,4,4,4,,,,,,False,3.0,The stipulations were met to make the answer yes.,2.0,181.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1.0,Indo not know how to figure out or read this equation so I do not know if that is the correct answer.,1.0,61.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1.0,I have no idea how to even go about figuring this out but they usually have pretty good math skills.,1.0,194.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.0,The question gives a lot of details. Also there are only 4 options to choose from. I think this gives it a reasonable chance of getting it right.,1.0,119.337,,,,,,,,,,,,,,,,,,,,,True,2.0,I do not think this has a wrong answer. I think this one is just an opinion and can be answered correctly either way.,2.0,176.721,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,5 minutes,47 days,4,4,4,,,,,,,5,4,0.8,1.8,1.6666666666666667,,False,,,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,False,,,,,False,,,,,,0.4,2,5,True,True,True,3
10/20/2025 21:12,10/20/2025 21:23,0,100,673,1,R_3OuZ5oZPTNBnDpj,5d49a0b751695e0001a188a8,2,6,5,homemaker,2,4,4,4,4,,,,,,,,,,,,,,,,,,,,,False,4.0,There should be no plaintiffs from the same state and they are all from a different state.,3.0,168.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.0,It looks like the answer is logically correct,1.0,83.988,,,,,,,,,,,,,,,,,,,,,False,2.0,I'm not sure if this equation is corect,2.0,88.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,3.0,Something is causing these symptoms,1.0,96.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.0,He has not objected to being moved to Germany,4.0,95.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,100,24,4,4,4,,,,,,,5,2,0.4,3.0,2.5,,,,,False,,,,,,,,,,,False,,,,,False,,,,,,,,,,,,,False,,,,,,,,,,True,,,,,,,0.2,1,5,False,False,False,0
10/20/2025 20:55,10/20/2025 21:42,0,100,2824,1,R_7kIIle5Nc5xXGQd,673feeafa80a279f5cc63e33,2,6,2,PCA,2,1,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.0,I believe descriptive is correct because pictures are a function or service a photography. Pictures describe what photography produces its a service or product you get from photography.,1.0,501.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.0,No supporting evidence . I have no idea what any of that means. I judged the answer is correct because I know LLM have a good record of being correct. I would have taken the last part of the equation [in red] and used what I'm familiar with and guessed the answer is 2 [1 x 2 = 2].,1.0,351.633,,,,,,,,,,,,,,,,True,3.0,I have no supporting evidence. I tried figuring it out with my math and I came up with $56.56. I'm judging correct because I believe this is very difficult for the average person to figure out. LLM's are very good at working with numbers.,1.0,477.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,2.0,LLM is probably correct. I have no real supporting evidence for my answer. My husband recently had all of these symptoms. They were very much the same as the scenario. He was diagnosed with heat stroke. I'm going with that as my logic and choosing incorrect.,1.0,331.767,False,1.0,"I have no solid proof. As I was reading, I was saying to myself ""Mark Zuckerberg does not hand over anything to the government. Always refused in the past this cannot be true"". Then at the end of the article it said the same thing I was thinking. This would be very unusual for Facebook to do. No solid evidence, just my opinion. Facebook would not hand over that information willingly.",1.0,696.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 cents,5 minutes,47 days,4,4,3,,,,,,,5,3,0.6,2.4,1.0,,,,,,,,False,,,,,,,,,,,True,,,,True,,,,,,,,,,,,,,,,,True,False,,,,,,,,,,0.6,3,5,True,True,True,3
10/20/2025 20:48,10/20/2025 21:51,0,100,3770,1,R_5hXPIGx67TXcZE5,5563984afdf99b672b5749b6,2,4,6,"Instructor, Psychological Health Practices",1,5,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,False,3.0,"I judge the LLM answer as incorrect because the mark named ""Whatpor"" is not suggestive, because it doesn't really relate to an online shopping service. I would say it's more of the ""arbitrary"" category and not suggestive.",4.0,617.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5.0,"I judged the answer as correct because I worked through the formulae and ascertained what the mathematical solution would be to this issue, and the answer of the number ""2"" is accurate.",5.0,501.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,3.0,"I calculated the formula that would be used for this, and apparently, it's a very high-level, very advanced sort of math formulae that relates to the Gordon growth model. And this is a very specific problem that would basically be the kind of thing you might get on an accounting test. So this is a very high-level, very complicated, very advanced kind of math problem that you would only see if you had been studying, accounting, got a Bachelor's degree, and maybe went on to a graduate degree. So I'm not 100% confident, but I'm pretty sure the answer is slightly off and that the accurate answer would be 12.293. But my Master of Science degree is in Computer Science and not accounting, so I have not, a priori, studied these specific formulae previously.",3.0,492.861,,,,,,,,,,,,,,,,,,,,,,,,,,True,3.0,"I judged the answer of the LLM by doing some thinking and looking at this information. And I did briefly study to be a medical doctor at one point. I was taking some classes to go to medical school because my bachelor's degree was not covering the topics that they needed for admission to the M.D. program that I was going to attend, so I do have some level of knowledge of this kind of information. And I've worked in jobs where I worked with health information, mostly mental health, but also physical health sometimes, so I have some knowledge of this, but not expert level knowledge, far from expert level knowledge, so I just made the best guess I could.",3.0,1120.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.0,"I read some articles about this topic, and apparently Alec Baldwin used to play Trump, and the last time he played Trump was quite a few years ago. So, Alec has returned playing a few different characters on SNL, and apparently he mostly plays RFK Junior now. He does that instead of being Trump. So, that's not accurate when the LLM says he is going to be playing Trump again.",5.0,242.223,,,,,,,,,,,,,,,,$0.05 ,5 minutes,47,2,2,1,,,,,,,5,2,0.4,3.6,4.166666666666667,,,,,,True,,,,,,,,,,,,,True,,,,,,,True,,,,,,True,,,,,,,,,,,,,,,True,,,,1.0,5,5,True,True,True,3
11/1/2025 15:52,11/1/2025 16:01,0,100,538,1,R_6rOfyZiUmLUnwQe,627121bbdd4e39bcc0a0079f,2,5,4,Primary: Data Annotations worker,1,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.0,"I am not entirely sure. But I heard somewhere that the creator of the color ""Vanta black"" copyrighted it. Same as Nintendo copyrighted the name Mario.",2.0,92.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.0,"I do not know how to solve this, but I am trusting the AI knows how.",1.0,35.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3.0,"Again, not sure how to do this, but as this has more numbers the ai could mess up, so i'm not 100% sure.",1.0,48.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.0,"This sounds about right, I took classes like this for a short period, though I could be imagining the answer wrong.",3.0,62.104,,,,,,,,,,,,,,,,,,,,,,,,,,True,5.0,"I myself am a republican, and I can tell this post is propaganda, or purposely aimed to make republicans seem evil, so they're likely lying.",4.0,96.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,100 minutes,40,4,5,4,,,,,,,5,4,0.8,4.0,2.5,,,,,,,,True,,,,,,,,,,True,,,,,,,,,,False,,,,,,,,,False,,,,,,True,,,,,,,,0.6,3,5,False,False,False,0
11/1/2025 15:50,11/1/2025 16:03,0,100,769,1,R_34lYi9fUygARjWx,6701580c116225812fb34d99,2,4,5,"Homemaker, freelance business consultant ",3,3,4,5,4,,,,,,,,,,,,,,,,False,3.0,"I feel like it is more arbitrary than suggestive. It was also a brief answer with no additional clarification, and I feel like I would have expected that. ",3.0,138.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.0,"Is it saying 41% or .41% ? Once again the answer provided is not clear. If the required force is higher, the probably they break lower should be lower than 41% but the response was not clear",4.0,151.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.0,"Once again there is not additional language or explanation with the answer, and this problem I am unsure of how to calculate myself. If I asked an LLM to help me with it I would also be looking for a brief explanation so I could understand how they got there. ",2.0,104.132,,,,,,,,,,,,,,,,,,,,,False,1.0,I have no idea what the answers are in regards to in order to determine what the next best course of action is. ,1.0,60.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5.0,"In this case there did not seem to be an answer, just a statement about Congress. ",5.0,107.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,5 Minutes,47,4,5,4,,,,,,,5,2,0.4,3.0,3.0,,,,False,,,,,,,,True,,,,,,,,,,,,,,False,,,,,False,,,,,,,,,,,True,,,,,,,,,0.4,2,5,True,True,True,3
11/1/2025 15:56,11/1/2025 16:21,0,100,1471,1,R_5qEwx1YrsasOOf7,66e12593ddd5a01785c4e288,2,2,3,Student,2,3,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.0,I am fairly confident that this answer is correct because it uses the information in the question to support that the mark for baseball hats is suggestive.,2.0,122.455,,,,,,,,,,,,,,,,,,,,,True,3.0,"I am somewhat confident that this answer is correct because in general, I trust LLM's to solve number questions correctly as they are simple calculations.",1.0,81.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3.0,I am somewhat confident that this answer is correct because the LLM used context information in the text in a way that seemed reasonable in it's final answer.,1.0,86.561,,,,,,,,,,,,,,,,False,1.0,I am not confident that this answer is correct because I feel that there was not enough information in the text to make this decision.,2.0,72.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.0,I think that answer is correct because there was enough information in the text to support a reaction from Trump in this way.,3.0,94.734,,,,,,,,,,,,,,,,0.1,500,24,4,4,4,,,,,,,5,3,0.6,3.0,2.0,,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,False,,,,0.4,2,5,False,False,False,0
11/1/2025 15:52,11/1/2025 16:24,0,100,1903,1,R_6xy0AyPPbNjgurn,67a60aab3179b5e743db2a2b,2,7,5,Material handler,4,3,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.0,"Oamp seems more fanciful than suggestive as the AI suggests. Spellcheck does not recognize it, also supporting fanciful. ",3.0,285.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.0,I do not recognize the notation x_1 and x_2 so I can’t say for certain. ,3.0,257.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,2.0,"If I understand correctly, the AI answer is the cost to the company for each share. If they charge $14.69, and it costs 12.294 (per AI) they are not getting much revenue. It seems like a lot of effort for minimal return. ",1.0,341.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,2.0,"His clothes are soaked in sweat but it doesn’t say he is sweating. Hyperthermia, heat stroke or heat stress can explain the symptoms. I am unfamiliar with D, but Occam’s Razor makes me think that one of the other three are more likely to ",3.0,416.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,2.0,"If it is as bad as the writer portrays, why would the Cardinal be part of it?  Why act against the congregation’s interests?  ",2.0,297.158,,,,,,,,,,,0.05,Five minutes ,47 days ,3,3,2,,,,,,,5,1,0.2,2.4,2.5,,,,,,,,,,True,,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,True,,,,,,,,True,,,1.0,5,5,True,True,True,3
11/1/2025 16:03,11/1/2025 16:26,0,100,1378,1,R_3jvFeGcnlqHHASl,651090beae417ded35c4ef2f,2,7,4,Retired,2,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.0,"This would be fore a specific detailing of the product, GENERIC would be appropriate.",2.0,258.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,3.0,I don't believe the calculating assumptions are valid,1.0,141.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1.0,The answer is contradictive to its statements,2.0,184.262,,,,,,,,,,,,,,,,False,3.0,LDL and HDL are chemistry readings and do not seem related to prior actional cause and CT  findings,1.0,264.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.0,Unverified story witness with extreme bias and much contridiction within statements.,3.0,201.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,5 minutes,47,4,3,4,,,,,,,5,1,0.2,3.0,2.0,,,,,,,,True,,,,,,,,,,False,,,,,,,,,,True,,,,False,,,,,,,,,,,True,,,,,,,,0.6,3,5,True,True,True,3
